state_list,state_est_count,pooled_prev_n,pooled_se_n
AZ,8,137289.833376638,7037.9312989302
CA,7,666326.631267364,21394.0293774543
CT,8,86394.4209128849,2758.87054809844
DC,7,15715.6055598198,770.40615897999
GA,7,248446.350577895,8895.42579038445
IN,7,134975.676863309,4810.39281932661
KS,8,59527.7874724794,1459.16062499143
LA,3,93711.0243732343,5369.02402978719
MD,8,131888.409373663,3881.95083747807
ME,6,24488.4031156215,1032.9359815365
MI,9,229997.805764631,6136.85818540424
MO,6,128231.042291271,6052.80292492237
MS,7,73538.4403522057,2345.33276144551
MT,9,14542.3667834223,561.985351838812
NE,7,28817.6530855283,1054.5449721915
NH,6,26732.8080041212,1069.69769392281
NJ,9,183252.373759698,4368.15316587846
NM,8,42384.072262182,1385.21083768372
NV,7,45011.9049847287,2726.88455390387
NY,7,425571.122850381,17238.0559672134
OH,8,212287.00177702,7272.92710091099
OK,7,87232.2010083839,2714.43395413634
OR,8,67093.5435301853,2595.70216469217
PA,9,270306.656144478,7381.18470630734
RI,6,25446.2661850984,945.572108379057
TN,4,112685.052080609,9417.63958778888
TX,8,561683.874713141,18366.9562628762
US,9,3456627.37226613,31182.4261506369
UT,8,56545.4711844188,1544.08732921105
VT,8,11608.329329118,376.854630192689
WA,5,102226.299546722,3552.11125629005
WI,9,100564.628045526,4454.77019684068
WV,9,31553.2400916363,1196.56195117736
AL,2,124719.333182602,7286.65919633201
IL,5,279530.342492808,13968.2340273389
KY,4,97951.3993230105,4515.47052886171
WY,4,8494.71201273735,465.107972991222
IA,6,39871.7501555564,1891.6304309582
MA,4,136353.91496288,7529.03802501977
ND,3,8211.15483425122,622.208285745507
DE,1,27920,2722.95918367347
ID,4,23080.2764686317,1312.90844729838
VA,5,153984.971626861,7455.58222750071
MN,2,80342.4586020057,7120.39107560055
SD,1,10719,1217.34693877551
