"","state","median","lower_bound","upper_bound"
"1","alabama",60.5989034991584,24.3076290374439,114.721163208646
"2","arkansas",28.7341832273349,5.11784776517793,66.6592015231139
"3","arizona",45.253291836963,6.77177787612789,107.048918007816
"4","california",181.264474260491,-12.6055736606396,444.126694130873
"5","colorado",35.998688962034,-4.87609476516318,93.0277554912597
"6","connecticut",81.0581736783632,26.3730641648352,160.244719297399
"7","delaware",10.4999942678942,1.51186720256994,23.8086827457364
"8","florida",376.212149817148,180.379147583022,687.547385251492
"9","georgia",120.743331758545,49.7094267421698,227.613449427713
"10","iowa",20.8522121481138,5.69980292968053,43.3764977134723
"11","idaho",6.29085530222338,-5.00484354640607,19.7194954892382
"12","illinois",107.672609022395,29.7915138220472,223.985189784684
"13","indiana",107.236441351358,6.7151216030239,248.929561685348
"14","kansas",3.88976180068591,-17.347850895107,26.7457392413755
"15","kentucky",63.8461782372533,14.1429778647842,136.167115042354
"16","louisiana",58.5342312835836,21.9445991029452,118.31201322159
"17","massachusetts",145.901340355991,58.3105082232642,278.146449668032
"18","maryland",54.5816070362083,-15.5602249963889,150.21686004844
"19","maine",26.8806686486724,10.0997404639572,51.3278278824012
"20","michigan",104.43818911652,-15.2126890834122,266.938676839045
"21","minnesota",11.7134224470041,-15.5333578490436,45.4440171150337
"22","missouri",81.2652788141918,16.6055044750599,178.359804296038
"23","mississippi",38.7054931732736,17.7816844613599,70.5359983889509
"24","montana",-2.08181685183242,-7.84644310702728,2.84362613616331
"25","north carolina",86.3912998211393,26.5713069360285,174.48908789757
"26","north dakota",0.735332650976671,-2.01376471450746,3.73378656811542
"27","nebraska",16.5837464150437,2.32037181266928,37.4129412452216
"28","new hampshire",19.8002441436256,-2.3383736701215,50.1872839313474
"29","new jersey",88.8728068517817,13.8653013316315,193.547058339534
"30","new mexico",1.9218005556488,-3.92782426267102,8.36602292578249
"31","nevada",5.43669879913574,-10.8385257729095,24.104861214291
"32","new york",253.253191324352,89.5217334024651,498.784804082539
"33","ohio",116.101669717495,18.06726451782,255.952753947806
"34","oklahoma",22.4690915982835,-5.93335543292979,58.4703606957397
"35","oregon",13.6286243194877,-10.8471464544334,42.92773057448
"36","pennsylvania",142.809586687847,10.413817316989,320.382935667345
"37","rhode island",25.0061563123106,4.66193287570418,54.5316824599536
"38","south carolina",47.5353483258423,20.9256737382276,92.4708697432154
"39","south dakota",1.79929479178821,-2.44218456050213,6.72639738434398
"40","tennessee",59.6334194249403,14.1524901391753,137.052897571232
"41","texas",262.086484897708,103.088321859261,510.250274249899
"42","utah",16.3687887550922,-3.75839396820883,43.3521831006491
"43","virginia",123.722277305747,51.3344511136196,233.040757750935
"44","vermont",7.14032768221989,0.392902892284578,16.594130081193
"45","washington",0.297480999982401,-41.8289031313074,40.9333295080882
"46","wisconsin",62.4874284075712,22.2494356767741,125.179268307873
"47","west virginia",24.8855752523419,3.42884688655135,55.3944546835348
"48","wyoming",-0.828633682341565,-6.15993512708257,4.07602414485965
